,Chromosome,Source,Feature,Start,End,Score,Strand,Frame,Attribute
30660,JAILWY010000004.1,AUGUSTUS,gene,8626165,8630329,0.54,-,.,JAILWY010000004.1.g2615
30679,JAILWY010000004.1,AUGUSTUS,gene,8634945,8635662,0.86,-,.,JAILWY010000004.1.g2616
30686,JAILWY010000004.1,AUGUSTUS,gene,8636403,8636807,0.48,+,.,JAILWY010000004.1.g2617
30691,JAILWY010000004.1,AUGUSTUS,gene,8637149,8637484,0.98,-,.,JAILWY010000004.1.g2618
30696,JAILWY010000004.1,AUGUSTUS,gene,8658899,8659105,0.66,+,.,JAILWY010000004.1.g2619
30701,JAILWY010000004.1,AUGUSTUS,gene,8659193,8659615,1,-,.,JAILWY010000004.1.g2620
30706,JAILWY010000004.1,AUGUSTUS,gene,8661317,8661754,0.52,-,.,JAILWY010000004.1.g2621
30711,JAILWY010000004.1,AUGUSTUS,gene,8663034,8665038,0.4,+,.,JAILWY010000004.1.g2622
30720,JAILWY010000004.1,AUGUSTUS,gene,8667445,8668251,0.93,-,.,JAILWY010000004.1.g2623
30725,JAILWY010000004.1,AUGUSTUS,gene,8669048,8671632,0.95,+,.,JAILWY010000004.1.g2624
30744,JAILWY010000004.1,AUGUSTUS,gene,8672969,8679404,0.23,+,.,JAILWY010000004.1.g2625
30779,JAILWY010000004.1,AUGUSTUS,gene,8679810,8680880,0.45,-,.,JAILWY010000004.1.g2626
30784,JAILWY010000004.1,AUGUSTUS,gene,8681749,8686987,0.84,+,.,JAILWY010000004.1.g2627
30797,JAILWY010000004.1,AUGUSTUS,gene,8688980,8698309,0.18,+,.,JAILWY010000004.1.g2628
30826,JAILWY010000004.1,AUGUSTUS,gene,8704545,8704793,0.94,-,.,JAILWY010000004.1.g2629
30831,JAILWY010000004.1,AUGUSTUS,gene,8710039,8712042,0.27,-,.,JAILWY010000004.1.g2630
30840,JAILWY010000004.1,AUGUSTUS,gene,8720952,8737777,0.22,+,.,JAILWY010000004.1.g2631
30875,JAILWY010000004.1,AUGUSTUS,gene,8739841,8742097,0.76,-,.,JAILWY010000004.1.g2632
30888,JAILWY010000004.1,AUGUSTUS,gene,8742699,8753105,0.12,+,.,JAILWY010000004.1.g2633
30921,JAILWY010000004.1,AUGUSTUS,gene,8760005,8771859,0.19,-,.,JAILWY010000004.1.g2634
30980,JAILWY010000004.1,AUGUSTUS,gene,8786725,8787898,0.97,-,.,JAILWY010000004.1.g2635
30989,JAILWY010000004.1,AUGUSTUS,gene,8788851,8792592,0.73,+,.,JAILWY010000004.1.g2636
31008,JAILWY010000004.1,AUGUSTUS,gene,8793431,8793867,0.32,-,.,JAILWY010000004.1.g2637
31015,JAILWY010000004.1,AUGUSTUS,gene,8796689,8797961,0.35,-,.,JAILWY010000004.1.g2638
31024,JAILWY010000004.1,AUGUSTUS,gene,8799710,8806170,0.77,-,.,JAILWY010000004.1.g2639
31045,JAILWY010000004.1,AUGUSTUS,gene,8827185,8832017,0.46,-,.,JAILWY010000004.1.g2640
31054,JAILWY010000004.1,AUGUSTUS,gene,8839157,8839360,0.94,+,.,JAILWY010000004.1.g2641
31059,JAILWY010000004.1,AUGUSTUS,gene,8846304,8846522,1,+,.,JAILWY010000004.1.g2642
31064,JAILWY010000004.1,AUGUSTUS,gene,8846579,8846965,1,+,.,JAILWY010000004.1.g2643
31069,JAILWY010000004.1,AUGUSTUS,gene,8869140,8869847,0.49,-,.,JAILWY010000004.1.g2644
31076,JAILWY010000004.1,AUGUSTUS,gene,8883830,8886988,0.53,+,.,JAILWY010000004.1.g2645
31089,JAILWY010000004.1,AUGUSTUS,gene,8943959,8947706,0.76,+,.,JAILWY010000004.1.g2646
31102,JAILWY010000004.1,AUGUSTUS,gene,8952433,8954982,0.1,+,.,JAILWY010000004.1.g2647
31113,JAILWY010000004.1,AUGUSTUS,gene,8957164,8960761,0.47,+,.,JAILWY010000004.1.g2648
31132,JAILWY010000004.1,AUGUSTUS,gene,8961571,8961828,0.6,+,.,JAILWY010000004.1.g2649
31137,JAILWY010000004.1,AUGUSTUS,gene,8962054,8965316,0.41,+,.,JAILWY010000004.1.g2650
31156,JAILWY010000004.1,AUGUSTUS,gene,8967589,8968345,0.21,-,.,JAILWY010000004.1.g2651
31165,JAILWY010000004.1,AUGUSTUS,gene,8978511,8979886,0.2,-,.,JAILWY010000004.1.g2652
31172,JAILWY010000004.1,AUGUSTUS,gene,9055112,9056225,0.5,-,.,JAILWY010000004.1.g2653
31179,JAILWY010000004.1,AUGUSTUS,gene,9090156,9090374,0.6,+,.,JAILWY010000004.1.g2654
31184,JAILWY010000004.1,AUGUSTUS,gene,9128800,9131508,0.85,-,.,JAILWY010000004.1.g2655
31191,JAILWY010000004.1,AUGUSTUS,gene,9224391,9224846,0.74,-,.,JAILWY010000004.1.g2656
31196,JAILWY010000004.1,AUGUSTUS,gene,9226201,9228027,0.66,-,.,JAILWY010000004.1.g2657
31205,JAILWY010000004.1,AUGUSTUS,gene,9229406,9231406,0.52,-,.,JAILWY010000004.1.g2658
31216,JAILWY010000004.1,AUGUSTUS,gene,9236310,9238419,0.93,-,.,JAILWY010000004.1.g2659
31223,JAILWY010000004.1,AUGUSTUS,gene,9259635,9260024,0.45,+,.,JAILWY010000004.1.g2660
31228,JAILWY010000004.1,AUGUSTUS,gene,9299634,9303458,0.45,+,.,JAILWY010000004.1.g2661
31237,JAILWY010000004.1,AUGUSTUS,gene,9312409,9312654,0.96,-,.,JAILWY010000004.1.g2662
31242,JAILWY010000004.1,AUGUSTUS,gene,9319273,9323702,0.55,-,.,JAILWY010000004.1.g2663
31255,JAILWY010000004.1,AUGUSTUS,gene,9329077,9332553,0.64,-,.,JAILWY010000004.1.g2664
31268,JAILWY010000004.1,AUGUSTUS,gene,9338468,9345539,0.4,+,.,JAILWY010000004.1.g2665
31301,JAILWY010000004.1,AUGUSTUS,gene,9347486,9348012,0.68,+,.,JAILWY010000004.1.g2666
31310,JAILWY010000004.1,AUGUSTUS,gene,9349050,9353813,0.18,+,.,JAILWY010000004.1.g2667
31325,JAILWY010000004.1,AUGUSTUS,gene,9359353,9363593,0.7,-,.,JAILWY010000004.1.g2668
31342,JAILWY010000004.1,AUGUSTUS,gene,9364897,9366764,0.55,+,.,JAILWY010000004.1.g2669
31351,JAILWY010000004.1,AUGUSTUS,gene,9369402,9374892,0.48,-,.,JAILWY010000004.1.g2670
31374,JAILWY010000004.1,AUGUSTUS,gene,9375958,9378511,0.48,+,.,JAILWY010000004.1.g2671
31391,JAILWY010000004.1,AUGUSTUS,gene,9381680,9384058,0.52,-,.,JAILWY010000004.1.g2672
31408,JAILWY010000004.1,AUGUSTUS,gene,9385749,9387941,0.98,+,.,JAILWY010000004.1.g2673
31413,JAILWY010000004.1,AUGUSTUS,gene,9389919,9396668,0.5,+,.,JAILWY010000004.1.g2674
31446,JAILWY010000004.1,AUGUSTUS,gene,9401150,9403198,0.33,-,.,JAILWY010000004.1.g2675
31461,JAILWY010000004.1,AUGUSTUS,gene,9404366,9407479,0.67,+,.,JAILWY010000004.1.g2676
31480,JAILWY010000004.1,AUGUSTUS,gene,9411755,9416357,0.26,-,.,JAILWY010000004.1.g2677
31513,JAILWY010000004.1,AUGUSTUS,gene,9418934,9424030,0.58,+,.,JAILWY010000004.1.g2678
31528,JAILWY010000004.1,AUGUSTUS,gene,9426644,9428153,0.41,-,.,JAILWY010000004.1.g2679
31539,JAILWY010000004.1,AUGUSTUS,gene,9432800,9435422,0.61,-,.,JAILWY010000004.1.g2680
31554,JAILWY010000004.1,AUGUSTUS,gene,9447890,9456903,0.18,+,.,JAILWY010000004.1.g2681
31571,JAILWY010000004.1,AUGUSTUS,gene,9459761,9460290,0.97,-,.,JAILWY010000004.1.g2682
31578,JAILWY010000004.1,AUGUSTUS,gene,9476559,9478154,0.67,+,.,JAILWY010000004.1.g2683
31583,JAILWY010000004.1,AUGUSTUS,gene,9519561,9520511,0.99,+,.,JAILWY010000004.1.g2684
31588,JAILWY010000004.1,AUGUSTUS,gene,9528283,9528558,0.71,-,.,JAILWY010000004.1.g2685
31593,JAILWY010000004.1,AUGUSTUS,gene,9531931,9532176,0.77,-,.,JAILWY010000004.1.g2686
31598,JAILWY010000004.1,AUGUSTUS,gene,9539778,9540029,0.62,+,.,JAILWY010000004.1.g2687
31603,JAILWY010000004.1,AUGUSTUS,gene,9545638,9548913,0.3,+,.,JAILWY010000004.1.g2688
31612,JAILWY010000004.1,AUGUSTUS,gene,9556847,9557272,0.98,+,.,JAILWY010000004.1.g2689
31617,JAILWY010000004.1,AUGUSTUS,gene,9564291,9570624,0.03,-,.,JAILWY010000004.1.g2690
31660,JAILWY010000004.1,AUGUSTUS,gene,9571663,9574352,0.19,+,.,JAILWY010000004.1.g2691
31671,JAILWY010000004.1,AUGUSTUS,gene,9576219,9586043,0.37,+,.,JAILWY010000004.1.g2692
31696,JAILWY010000004.1,AUGUSTUS,gene,9586471,9591852,0.91,-,.,JAILWY010000004.1.g2693
31703,JAILWY010000004.1,AUGUSTUS,gene,9592709,9608628,0.16,+,.,JAILWY010000004.1.g2694
31758,JAILWY010000004.1,AUGUSTUS,gene,9612459,9613766,0.24,-,.,JAILWY010000004.1.g2695
31771,JAILWY010000004.1,AUGUSTUS,gene,9617152,9620537,0.86,-,.,JAILWY010000004.1.g2696
31788,JAILWY010000004.1,AUGUSTUS,gene,9622430,9628730,0.25,+,.,JAILWY010000004.1.g2697
31829,JAILWY010000004.1,AUGUSTUS,gene,9635050,9637737,0.71,-,.,JAILWY010000004.1.g2698
31850,JAILWY010000004.1,AUGUSTUS,gene,9640545,9647500,0.43,-,.,JAILWY010000004.1.g2699
31875,JAILWY010000004.1,AUGUSTUS,gene,9652034,9664733,0.01,+,.,JAILWY010000004.1.g2700
31908,JAILWY010000004.1,AUGUSTUS,gene,9665049,9668743,0.99,-,.,JAILWY010000004.1.g2701
31923,JAILWY010000004.1,AUGUSTUS,gene,9671294,9674215,0.82,-,.,JAILWY010000004.1.g2702
31932,JAILWY010000004.1,AUGUSTUS,gene,9675542,9681601,0.1,+,.,JAILWY010000004.1.g2703
31953,JAILWY010000004.1,AUGUSTUS,gene,9690155,9692127,0.25,+,.,JAILWY010000004.1.g2704
31962,JAILWY010000004.1,AUGUSTUS,gene,9728169,9728453,0.92,+,.,JAILWY010000004.1.g2705
31967,JAILWY010000004.1,AUGUSTUS,gene,9734291,9736735,0.2,-,.,JAILWY010000004.1.g2706
31984,JAILWY010000004.1,AUGUSTUS,gene,9869504,9872853,0.4,-,.,JAILWY010000004.1.g2707
31993,JAILWY010000004.1,AUGUSTUS,gene,9884978,9885668,0.47,+,.,JAILWY010000004.1.g2708
32000,JAILWY010000004.1,AUGUSTUS,gene,9887304,9890154,0.2,-,.,JAILWY010000004.1.g2709
32019,JAILWY010000004.1,AUGUSTUS,gene,9892520,9896396,0.64,+,.,JAILWY010000004.1.g2710
32026,JAILWY010000004.1,AUGUSTUS,gene,9901276,9901557,0.64,+,.,JAILWY010000004.1.g2711
32031,JAILWY010000004.1,AUGUSTUS,gene,9904588,9919325,0.26,-,.,JAILWY010000004.1.g2712
32096,JAILWY010000004.1,AUGUSTUS,gene,9920747,9921233,0.84,+,.,JAILWY010000004.1.g2713
32103,JAILWY010000004.1,AUGUSTUS,gene,9928223,9932378,0.88,+,.,JAILWY010000004.1.g2714
32116,JAILWY010000004.1,AUGUSTUS,gene,9935015,9940375,0.48,+,.,JAILWY010000004.1.g2715
32131,JAILWY010000004.1,AUGUSTUS,gene,9943949,9948783,0.55,-,.,JAILWY010000004.1.g2716
32148,JAILWY010000004.1,AUGUSTUS,gene,9949355,9961125,0.17,+,.,JAILWY010000004.1.g2717
32191,JAILWY010000004.1,AUGUSTUS,gene,9963181,9964557,0.5,-,.,JAILWY010000004.1.g2718
32200,JAILWY010000004.1,AUGUSTUS,gene,9991596,9991835,0.93,-,.,JAILWY010000004.1.g2719
32205,JAILWY010000004.1,AUGUSTUS,gene,9996544,10003712,0.25,+,.,JAILWY010000004.1.g2720
32220,JAILWY010000004.1,AUGUSTUS,gene,10005839,10012757,0.45,-,.,JAILWY010000004.1.g2721
32241,JAILWY010000004.1,AUGUSTUS,gene,10023738,10024061,0.56,+,.,JAILWY010000004.1.g2722
32246,JAILWY010000004.1,AUGUSTUS,gene,10039558,10040293,0.56,+,.,JAILWY010000004.1.g2723
32253,JAILWY010000004.1,AUGUSTUS,gene,10075815,10081223,0.45,-,.,JAILWY010000004.1.g2724
32262,JAILWY010000004.1,AUGUSTUS,gene,10083239,10084559,0.52,+,.,JAILWY010000004.1.g2725
32271,JAILWY010000004.1,AUGUSTUS,gene,10090329,10093537,0.74,-,.,JAILWY010000004.1.g2726
32280,JAILWY010000004.1,AUGUSTUS,gene,10115556,10118839,0.46,+,.,JAILWY010000004.1.g2727
32287,JAILWY010000004.1,AUGUSTUS,gene,10176511,10177649,0.28,+,.,JAILWY010000004.1.g2728
32294,JAILWY010000004.1,AUGUSTUS,gene,10178401,10179531,0.31,+,.,JAILWY010000004.1.g2729
32299,JAILWY010000004.1,AUGUSTUS,gene,10184154,10184387,0.59,+,.,JAILWY010000004.1.g2730
32304,JAILWY010000004.1,AUGUSTUS,gene,10185088,10185750,0.94,-,.,JAILWY010000004.1.g2731
32309,JAILWY010000004.1,AUGUSTUS,gene,10185816,10189344,0.4,-,.,JAILWY010000004.1.g2732
32318,JAILWY010000004.1,AUGUSTUS,gene,10189521,10191387,0.5,-,.,JAILWY010000004.1.g2733
32325,JAILWY010000004.1,AUGUSTUS,gene,10193212,10195422,0.81,-,.,JAILWY010000004.1.g2734
32330,JAILWY010000004.1,AUGUSTUS,gene,10195559,10197409,0.94,-,.,JAILWY010000004.1.g2735
32337,JAILWY010000004.1,AUGUSTUS,gene,10197425,10197916,1,-,.,JAILWY010000004.1.g2736
32342,JAILWY010000004.1,AUGUSTUS,gene,10197937,10199577,1,-,.,JAILWY010000004.1.g2737
32347,JAILWY010000004.1,AUGUSTUS,gene,10200130,10200876,0.88,-,.,JAILWY010000004.1.g2738
32352,JAILWY010000004.1,AUGUSTUS,gene,10204860,10205225,0.98,-,.,JAILWY010000004.1.g2739
32357,JAILWY010000004.1,AUGUSTUS,gene,10205907,10207838,0.16,+,.,JAILWY010000004.1.g2740
32368,JAILWY010000004.1,AUGUSTUS,gene,10207935,10208210,0.55,+,.,JAILWY010000004.1.g2741
32373,JAILWY010000004.1,AUGUSTUS,gene,10209354,10210022,0.85,+,.,JAILWY010000004.1.g2742
32378,JAILWY010000004.1,AUGUSTUS,gene,10210086,10210961,1,+,.,JAILWY010000004.1.g2743
32383,JAILWY010000004.1,AUGUSTUS,gene,10211076,10211705,0.98,+,.,JAILWY010000004.1.g2744
32388,JAILWY010000004.1,AUGUSTUS,gene,10211721,10213379,0.99,+,.,JAILWY010000004.1.g2745
32393,JAILWY010000004.1,AUGUSTUS,gene,10213564,10213962,0.99,+,.,JAILWY010000004.1.g2746
32398,JAILWY010000004.1,AUGUSTUS,gene,10236430,10237515,0.8,+,.,JAILWY010000004.1.g2747
32403,JAILWY010000004.1,AUGUSTUS,gene,10238111,10238812,0.93,-,.,JAILWY010000004.1.g2748
32408,JAILWY010000004.1,AUGUSTUS,gene,10247318,10247836,0.6,+,.,JAILWY010000004.1.g2749
32413,JAILWY010000004.1,AUGUSTUS,gene,10285657,10290242,0.82,+,.,JAILWY010000004.1.g2750
32420,JAILWY010000004.1,AUGUSTUS,gene,10295542,10300127,0.88,-,.,JAILWY010000004.1.g2751
32427,JAILWY010000004.1,AUGUSTUS,gene,10316660,10321244,0.7,+,.,JAILWY010000004.1.g2752
32434,JAILWY010000004.1,AUGUSTUS,gene,10327631,10328074,1,+,.,JAILWY010000004.1.g2753
32439,JAILWY010000004.1,AUGUSTUS,gene,10328182,10329273,1,-,.,JAILWY010000004.1.g2754
32444,JAILWY010000004.1,AUGUSTUS,gene,10332056,10339525,0.24,-,.,JAILWY010000004.1.g2755
32461,JAILWY010000004.1,AUGUSTUS,gene,10344120,10345148,0.86,-,.,JAILWY010000004.1.g2756
32466,JAILWY010000004.1,AUGUSTUS,gene,10346274,10346573,0.88,-,.,JAILWY010000004.1.g2757
32471,JAILWY010000004.1,AUGUSTUS,gene,10346971,10348644,0.89,-,.,JAILWY010000004.1.g2758
32476,JAILWY010000004.1,AUGUSTUS,gene,10351081,10351978,0.18,-,.,JAILWY010000004.1.g2759
32483,JAILWY010000004.1,AUGUSTUS,gene,10352431,10352706,0.51,-,.,JAILWY010000004.1.g2760
32488,JAILWY010000004.1,AUGUSTUS,gene,10352775,10354595,0.99,-,.,JAILWY010000004.1.g2761
32495,JAILWY010000004.1,AUGUSTUS,gene,10375970,10377673,1,-,.,JAILWY010000004.1.g2762
32500,JAILWY010000004.1,AUGUSTUS,gene,10378180,10379712,0.87,-,.,JAILWY010000004.1.g2763
32505,JAILWY010000004.1,AUGUSTUS,gene,10383103,10385847,0.97,-,.,JAILWY010000004.1.g2764
32510,JAILWY010000004.1,AUGUSTUS,gene,10385987,10386355,1,-,.,JAILWY010000004.1.g2765
32515,JAILWY010000004.1,AUGUSTUS,gene,10388273,10389022,1,-,.,JAILWY010000004.1.g2766
32520,JAILWY010000004.1,AUGUSTUS,gene,10389057,10389320,0.84,-,.,JAILWY010000004.1.g2767
32525,JAILWY010000004.1,AUGUSTUS,gene,10389330,10391699,0.55,-,.,JAILWY010000004.1.g2768
32532,JAILWY010000004.1,AUGUSTUS,gene,10392406,10397105,0.8,+,.,JAILWY010000004.1.g2769
32547,JAILWY010000004.1,AUGUSTUS,gene,10398279,10399004,0.9,+,.,JAILWY010000004.1.g2770
32554,JAILWY010000004.1,AUGUSTUS,gene,10403288,10408361,0.32,-,.,JAILWY010000004.1.g2771
32577,JAILWY010000004.1,AUGUSTUS,gene,10409324,10410847,0.98,+,.,JAILWY010000004.1.g2772
32588,JAILWY010000004.1,AUGUSTUS,gene,10411125,10412724,0.51,-,.,JAILWY010000004.1.g2773
32597,JAILWY010000004.1,AUGUSTUS,gene,10452236,10455267,0.5,+,.,JAILWY010000004.1.g2774
32608,JAILWY010000004.1,AUGUSTUS,gene,10533585,10534361,0.97,+,.,JAILWY010000004.1.g2775
32613,JAILWY010000004.1,AUGUSTUS,gene,10603833,10605291,0.67,-,.,JAILWY010000004.1.g2776
32620,JAILWY010000004.1,AUGUSTUS,gene,10784895,10785179,1,+,.,JAILWY010000004.1.g2777
32625,JAILWY010000004.1,AUGUSTUS,gene,10881858,10882707,0.68,-,.,JAILWY010000004.1.g2778
32632,JAILWY010000004.1,AUGUSTUS,gene,10900390,10901406,0.34,-,.,JAILWY010000004.1.g2779
32639,JAILWY010000004.1,AUGUSTUS,gene,10945139,10949642,0.8,+,.,JAILWY010000004.1.g2780
32652,JAILWY010000004.1,AUGUSTUS,gene,10952747,10954908,0.49,-,.,JAILWY010000004.1.g2781
32661,JAILWY010000004.1,AUGUSTUS,gene,10955575,10957754,0.41,-,.,JAILWY010000004.1.g2782
32672,JAILWY010000004.1,AUGUSTUS,gene,10960972,10961323,0.32,-,.,JAILWY010000004.1.g2783
32679,JAILWY010000004.1,AUGUSTUS,gene,10963523,10964319,0.91,-,.,JAILWY010000004.1.g2784
32686,JAILWY010000004.1,AUGUSTUS,gene,10966800,10967151,0.37,-,.,JAILWY010000004.1.g2785
32693,JAILWY010000004.1,AUGUSTUS,gene,10969350,10970146,0.8,-,.,JAILWY010000004.1.g2786
32700,JAILWY010000004.1,AUGUSTUS,gene,10972603,10974609,0.33,-,.,JAILWY010000004.1.g2787
32717,JAILWY010000004.1,AUGUSTUS,gene,10976130,10978118,0.53,+,.,JAILWY010000004.1.g2788
32728,JAILWY010000004.1,AUGUSTUS,gene,10979369,10981131,0.32,-,.,JAILWY010000004.1.g2789
32737,JAILWY010000004.1,AUGUSTUS,gene,10986308,10987375,0.39,+,.,JAILWY010000004.1.g2790
32744,JAILWY010000004.1,AUGUSTUS,gene,10999111,11003178,1,+,.,JAILWY010000004.1.g2791
32765,JAILWY010000004.1,AUGUSTUS,gene,11004764,11009093,0.23,-,.,JAILWY010000004.1.g2792
32780,JAILWY010000004.1,AUGUSTUS,gene,11012604,11013008,0.4,+,.,JAILWY010000004.1.g2793
32785,JAILWY010000004.1,AUGUSTUS,gene,11020353,11020625,0.84,-,.,JAILWY010000004.1.g2794
32790,JAILWY010000004.1,AUGUSTUS,gene,11020949,11021440,0.77,+,.,JAILWY010000004.1.g2795
32795,JAILWY010000004.1,AUGUSTUS,gene,11024960,11025425,0.66,-,.,JAILWY010000004.1.g2796
32802,JAILWY010000004.1,AUGUSTUS,gene,11026953,11027321,0.99,-,.,JAILWY010000004.1.g2797
32807,JAILWY010000004.1,AUGUSTUS,gene,11043228,11043491,0.91,+,.,JAILWY010000004.1.g2798
32812,JAILWY010000004.1,AUGUSTUS,gene,11052652,11073830,0.09,+,.,JAILWY010000004.1.g2799
32863,JAILWY010000004.1,AUGUSTUS,gene,11076648,11077424,0.97,-,.,JAILWY010000004.1.g2800
32868,JAILWY010000004.1,AUGUSTUS,gene,11103394,11103989,0.95,+,.,JAILWY010000004.1.g2801
32875,JAILWY010000004.1,AUGUSTUS,gene,11135254,11135667,0.46,+,.,JAILWY010000004.1.g2802
32880,JAILWY010000004.1,AUGUSTUS,gene,11161870,11167142,0.56,+,.,JAILWY010000004.1.g2803
32895,JAILWY010000004.1,AUGUSTUS,gene,11175217,11179981,0.34,-,.,JAILWY010000004.1.g2804
32908,JAILWY010000004.1,AUGUSTUS,gene,11320465,11320851,0.93,+,.,JAILWY010000004.1.g2805
32913,JAILWY010000004.1,AUGUSTUS,gene,11327701,11329146,0.48,-,.,JAILWY010000004.1.g2806
32922,JAILWY010000004.1,AUGUSTUS,gene,11330043,11333154,0.4,+,.,JAILWY010000004.1.g2807
32929,JAILWY010000004.1,AUGUSTUS,gene,11344494,11345088,0.9,-,.,JAILWY010000004.1.g2808
32936,JAILWY010000004.1,AUGUSTUS,gene,11354218,11354445,0.61,-,.,JAILWY010000004.1.g2809
32941,JAILWY010000004.1,AUGUSTUS,gene,11367375,11375198,0.28,+,.,JAILWY010000004.1.g2810
32956,JAILWY010000004.1,AUGUSTUS,gene,11379111,11382686,0.5,+,.,JAILWY010000004.1.g2811
32967,JAILWY010000004.1,AUGUSTUS,gene,11387727,11393950,0.43,+,.,JAILWY010000004.1.g2812
32980,JAILWY010000004.1,AUGUSTUS,gene,11406465,11407805,1,-,.,JAILWY010000004.1.g2813
32985,JAILWY010000004.1,AUGUSTUS,gene,11427344,11427604,0.71,-,.,JAILWY010000004.1.g2814
32990,JAILWY010000004.1,AUGUSTUS,gene,11437325,11440320,0.77,+,.,JAILWY010000004.1.g2815
33001,JAILWY010000004.1,AUGUSTUS,gene,11447968,11459261,0.15,+,.,JAILWY010000004.1.g2816
33048,JAILWY010000004.1,AUGUSTUS,gene,11460283,11461188,0.71,+,.,JAILWY010000004.1.g2817
33053,JAILWY010000004.1,AUGUSTUS,gene,11462917,11463213,0.98,+,.,JAILWY010000004.1.g2818
33058,JAILWY010000004.1,AUGUSTUS,gene,11465227,11466420,0.46,-,.,JAILWY010000004.1.g2819
33063,JAILWY010000004.1,AUGUSTUS,gene,11467436,11472210,0.63,+,.,JAILWY010000004.1.g2820
33080,JAILWY010000004.1,AUGUSTUS,gene,11481806,11490544,0.45,-,.,JAILWY010000004.1.g2821
33101,JAILWY010000004.1,AUGUSTUS,gene,11501336,11505736,0.96,+,.,JAILWY010000004.1.g2822
33122,JAILWY010000004.1,AUGUSTUS,gene,11552094,11553581,0.31,+,.,JAILWY010000004.1.g2823
33129,JAILWY010000004.1,AUGUSTUS,gene,11574954,11575217,0.93,-,.,JAILWY010000004.1.g2824
33134,JAILWY010000004.1,AUGUSTUS,gene,11581414,11586102,0.72,+,.,JAILWY010000004.1.g2825
33141,JAILWY010000004.1,AUGUSTUS,gene,11590781,11591062,0.45,+,.,JAILWY010000004.1.g2826
33146,JAILWY010000004.1,AUGUSTUS,gene,11616011,11616574,0.99,-,.,JAILWY010000004.1.g2827
33151,JAILWY010000004.1,AUGUSTUS,gene,11683814,11688146,0.16,-,.,JAILWY010000004.1.g2828
33158,JAILWY010000004.1,AUGUSTUS,gene,11702054,11702863,1,+,.,JAILWY010000004.1.g2829
33163,JAILWY010000004.1,AUGUSTUS,gene,11704685,11705330,0.57,-,.,JAILWY010000004.1.g2830
33170,JAILWY010000004.1,AUGUSTUS,gene,11712956,11723517,0.41,+,.,JAILWY010000004.1.g2831
33187,JAILWY010000004.1,AUGUSTUS,gene,11723568,11725610,0.83,-,.,JAILWY010000004.1.g2832
33194,JAILWY010000004.1,AUGUSTUS,gene,11733883,11734179,0.9,-,.,JAILWY010000004.1.g2833
33199,JAILWY010000004.1,AUGUSTUS,gene,11734332,11735252,0.95,-,.,JAILWY010000004.1.g2834
33204,JAILWY010000004.1,AUGUSTUS,gene,11735998,11736675,0.57,-,.,JAILWY010000004.1.g2835
33209,JAILWY010000004.1,AUGUSTUS,gene,11748525,11748821,0.76,-,.,JAILWY010000004.1.g2836
33214,JAILWY010000004.1,AUGUSTUS,gene,11748973,11749890,0.94,-,.,JAILWY010000004.1.g2837
33219,JAILWY010000004.1,AUGUSTUS,gene,11751551,11756787,0.87,+,.,JAILWY010000004.1.g2838
33234,JAILWY010000004.1,AUGUSTUS,gene,11764129,11764425,0.79,-,.,JAILWY010000004.1.g2839
33239,JAILWY010000004.1,AUGUSTUS,gene,11764592,11765512,0.94,-,.,JAILWY010000004.1.g2840
33244,JAILWY010000004.1,AUGUSTUS,gene,11768884,11773753,0.34,+,.,JAILWY010000004.1.g2841
33253,JAILWY010000004.1,AUGUSTUS,gene,11776376,11778496,0.99,-,.,JAILWY010000004.1.g2842
33258,JAILWY010000004.1,AUGUSTUS,gene,11778537,11782646,0.97,-,.,JAILWY010000004.1.g2843
33265,JAILWY010000004.1,AUGUSTUS,gene,11783699,11793528,0.45,+,.,JAILWY010000004.1.g2844
33292,JAILWY010000004.1,AUGUSTUS,gene,11795502,11796366,0.31,+,.,JAILWY010000004.1.g2845
33299,JAILWY010000004.1,AUGUSTUS,gene,11800574,11804819,0.56,-,.,JAILWY010000004.1.g2846
33310,JAILWY010000004.1,AUGUSTUS,gene,11817410,11821355,0.2,-,.,JAILWY010000004.1.g2847
33319,JAILWY010000004.1,AUGUSTUS,gene,11821836,11823886,0.15,-,.,JAILWY010000004.1.g2848
33330,JAILWY010000004.1,AUGUSTUS,gene,11828517,11831534,0.57,+,.,JAILWY010000004.1.g2849
33339,JAILWY010000004.1,AUGUSTUS,gene,11834723,11845615,0.54,-,.,JAILWY010000004.1.g2850
33360,JAILWY010000004.1,AUGUSTUS,gene,11872954,11874072,0.77,-,.,JAILWY010000004.1.g2851
33367,JAILWY010000004.1,AUGUSTUS,gene,11882874,11883167,0.39,-,.,JAILWY010000004.1.g2852
33372,JAILWY010000004.1,AUGUSTUS,gene,11916049,11926288,0.39,+,.,JAILWY010000004.1.g2853
33405,JAILWY010000004.1,AUGUSTUS,gene,11928906,11930551,0.93,-,.,JAILWY010000004.1.g2854
33412,JAILWY010000004.1,AUGUSTUS,gene,11933869,11934315,0.91,-,.,JAILWY010000004.1.g2855
33417,JAILWY010000004.1,AUGUSTUS,gene,11941294,11941749,0.94,+,.,JAILWY010000004.1.g2856
33422,JAILWY010000004.1,AUGUSTUS,gene,11942173,11945383,0.59,+,.,JAILWY010000004.1.g2857
33433,JAILWY010000004.1,AUGUSTUS,gene,12003877,12004155,0.65,-,.,JAILWY010000004.1.g2858
33438,JAILWY010000004.1,AUGUSTUS,gene,12006249,12006509,0.77,-,.,JAILWY010000004.1.g2859
